Date,Open,High,Low,Close,Volume
28-11-2017,29.7182,29.8034,28.6112,28.7815,1001471
29-11-2017,28.8667,29.633,28.7815,29.4627,620531
30-11-2017,29.4627,31.4212,29.2924,30.8252,1504596
01-12-2017,30.5697,32.6134,30.5697,32.4431,1584385
04-12-2017,32.6134,34.2313,32.6134,34.2313,1481041
05-12-2017,34.4016,35.5937,32.3579,32.8688,2036241
06-12-2017,32.954,33.4649,31.7618,32.4431,1920370
07-12-2017,32.4431,33.2946,32.3579,32.954,731029
08-12-2017,33.1243,33.1243,31.9322,32.1025,746766
11-12-2017,32.358,32.358,29.8034,29.9737,1325148
12-12-2017,29.1222,31.0807,28.1003,30.3994,1067529
13-12-2017,30.3994,30.8252,29.3776,30.2291,627851
14-12-2017,30.2291,32.3579,30.0588,32.1876,1075163
15-12-2017,32.1876,32.8688,32.1024,32.6134,941089
18-12-2017,32.5282,33.8907,32.5282,33.1243,914930
19-12-2017,33.2095,33.2095,32.1025,32.2728,1043120
20-12-2017,32.2728,33.3798,32.0173,32.8688,895360
21-12-2017,33.2094,33.7203,32.7836,33.1243,700915
22-12-2017,33.2095,33.2095,32.1025,32.3579,849415
25-12-2017,32.4431,32.8688,32.1024,32.4431,383950
26-12-2017,32.4431,35.168,32.3579,35.0828,2547080
27-12-2017,35.168,36.1898,34.9125,35.9343,1453096
28-12-2017,36.0195,37.2967,36.0195,37.0413,1240763
29-12-2017,36.9561,37.1265,36.1046,36.7858,1403091
02-01-2018,36.7006,40.1919,36.6155,39.8513,1536453
03-01-2018,39.8513,41.2989,37.7225,39.1701,2153279
04-01-2018,38.7443,40.6177,38.6592,39.9365,1397180
05-01-2018,39.5959,41.2989,39.1701,40.788,1335299
08-01-2018,40.7028,43.4277,40.6177,43.3426,1695283
09-01-2018,43.3426,44.5347,42.6614,43.4277,1597691
10-01-2018,43.8535,43.8535,41.4692,41.9801,1861371
11-01-2018,41.9801,43.4277,40.8731,43.1723,1322935
12-01-2018,43.3426,45.1308,43.002,43.6832,1021552
15-01-2018,43.4277,44.2793,43.4277,44.2793,951914
16-01-2018,44.2793,45.0457,43.9387,44.7902,1154825
17-01-2018,44.705,46.3229,44.705,45.1308,1733229
18-01-2018,45.5566,45.5566,43.3426,44.9605,1590981
19-01-2018,44.705,50.24,44.6199,48.2814,2350353
22-01-2018,47.8556,54.2421,47.6853,54.2421,3011445
23-01-2018,54.9233,59.6067,54.2421,57.3076,2455609
24-01-2018,57.3076,57.9037,54.0718,54.6679,2076432
25-01-2018,55.0937,57.2225,53.5609,54.1569,2344305
26-01-2018,54.2421,55.349,52.3687,52.7945,2179883
29-01-2018,50.6657,54.4975,50.2399,51.943,1507535
30-01-2018,51.0915,52.1133,49.8142,50.2399,2202371
31-01-2018,50.2399,50.6657,45.5565,45.812,3097150
01-02-2018,45.812,47.6854,42.1504,43.598,2430906
02-02-2018,44.2792,45.5565,42.491,45.3011,2551448
05-02-2018,45.3011,45.7269,41.7247,42.4911,2133156
06-02-2018,42.1505,42.1505,37.6374,38.7444,2770837
07-02-2018,39.1702,43.4278,39.1702,43.002,2381296
08-02-2018,42.4911,44.1941,39.2553,39.681,1412300
09-02-2018,38.3186,39.5958,34.7422,39.5959,1433769
12-02-2018,39.1701,42.5762,39.1701,42.4911,727541
13-02-2018,42.4911,45.1308,42.4911,45.1308,1390941
21-02-2018,45.9823,47.3448,45.1308,46.7487,1113547
22-02-2018,46.919,46.919,43.6832,44.2793,1253519
23-02-2018,44.2793,45.7269,43.8535,45.0456,1074223
26-02-2018,45.1308,46.408,44.6198,44.9605,1126366
27-02-2018,45.3011,49.3884,44.8753,49.0478,3664154
28-02-2018,49.3884,50.0696,48.1111,49.2181,1581591
01-03-2018,49.0478,49.8142,48.2814,48.7923,1373626
02-03-2018,48.5368,48.5368,46.8338,48.4517,1308865
05-03-2018,48.1962,49.8141,45.8971,45.9823,1523671
06-03-2018,47.0893,47.7705,45.812,47.6002,1149315
07-03-2018,47.6854,48.026,44.9605,45.0456,1449508
08-03-2018,45.9823,45.9823,43.4277,44.4496,1337763
09-03-2018,44.7051,45.9823,44.3644,44.8753,648087
12-03-2018,45.1308,45.7268,44.1941,44.4496,685958
13-03-2018,44.2793,44.5348,43.2575,43.4277,1845989
14-03-2018,43.4277,43.5129,42.3207,43.2574,1633496
15-03-2018,43.3426,45.0456,43.2574,44.5347,1384430
16-03-2018,44.705,45.5565,44.2792,44.4496,1088980
19-03-2018,44.4496,44.8754,42.9169,43.0871,1694054
20-03-2018,43.2574,43.598,40.7028,40.9583,3116500
21-03-2018,40.9583,42.3207,39.9365,40.6177,1557930
22-03-2018,40.7029,42.0653,40.6177,41.2989,870574
23-03-2018,41.2989,41.2989,38.3186,39.9365,1278764
26-03-2018,39.2553,40.7029,39.1701,40.1068,638775
27-03-2018,40.2771,41.3841,40.192,40.9583,804364
28-03-2018,40.9583,41.4692,40.1919,40.7029,449013
29-03-2018,40.7029,41.4693,40.4474,41.4692,713517
30-03-2018,41.2137,42.5762,41.1286,42.3208,860361
02-04-2018,42.5763,43.5129,42.1505,42.5762,846561
03-04-2018,42.5762,42.6614,41.4692,41.7247,955971
04-04-2018,41.7247,42.6614,41.4692,41.895,1182775
05-04-2018,41.7247,42.1505,40.8732,41.1286,627097
06-04-2018,41.2989,41.9801,41.1286,41.3841,781188
09-04-2018,40.8732,41.3841,40.192,40.6177,812499
10-04-2018,40.6177,42.3207,39.9365,41.2989,977855
11-04-2018,41.5544,42.1504,40.6177,40.9583,690947
12-04-2018,40.8731,41.2989,40.4474,40.7029,587488
13-04-2018,40.8732,41.0435,39.7662,39.8513,684885
16-04-2018,39.681,39.9365,38.9146,39.1701,587937
17-04-2018,38.4037,39.5959,38.4037,39.3404,480877
18-04-2018,40.0216,41.3841,39.1701,39.5959,873012
19-04-2018,42.5466,43.6887,39.9766,40.1746,756169
20-04-2018,39.9842,40.6506,39.6034,40.4602,367685
23-04-2018,40.5554,41.0314,36.7474,37.1282,514780
24-04-2018,37.1282,37.985,35.7002,36.081,848800
26-04-2018,36.2714,36.4618,32.1778,32.8441,1478625
27-04-2018,33.4153,36.0809,32.8441,35.7954,757900
02-05-2018,35.7954,36.6522,35.2242,35.4146,539902
03-05-2018,35.7002,35.7002,33.3202,34.9386,524668
04-05-2018,35.129,35.7002,34.8434,35.2242,344565
07-05-2018,36.557,38.1754,35.5098,37.033,369451
08-05-2018,37.1282,37.6042,36.6522,36.6522,351591
09-05-2018,37.033,37.033,36.1762,36.9378,337402
10-05-2018,36.9378,36.9378,35.2242,35.2242,497197
11-05-2018,35.7002,36.1762,34.7482,36.081,324736
14-05-2018,35.7954,36.3666,35.4146,36.2714,267589
15-05-2018,36.2714,36.6522,36.081,36.4618,302998
16-05-2018,36.3666,36.3666,35.7002,35.7954,282692
17-05-2018,38.0802,38.0802,35.129,35.3194,252566
18-05-2018,35.4146,35.4146,33.5106,34.3673,668748
21-05-2018,35.0337,35.0337,33.5105,33.7961,195556
22-05-2018,33.7961,33.7961,30.7497,31.4161,557314
23-05-2018,27.4177,31.8921,27.4177,31.2257,466778
24-05-2018,31.4161,31.9873,30.2737,30.4641,338763
25-05-2018,30.9401,30.9401,29.0361,29.1313,324865
28-05-2018,28.6553,29.5121,25.8945,26.6561,926426
29-05-2018,26.6561,29.9881,25.7041,29.4169,556700
30-05-2018,29.4169,29.4169,28.3697,28.9409,283589
31-05-2018,29.4298,30.0164,28.7454,29.8201,420426
01-06-2018,29.6246,31.9711,29.429,31.1889,513214
04-06-2018,31.2867,32.3622,30.5045,32.2644,513711
05-06-2018,32.2644,33.0466,32.0689,32.3621,404670
06-06-2018,32.4599,32.5576,31.6777,32.3621,357759
07-06-2018,32.3621,35.5885,32.0688,35.1975,1123039
08-06-2018,34.4153,36.8596,34.4153,36.3707,806519
11-06-2018,36.1752,36.664,35.2952,35.2953,577342
12-06-2018,35.5886,35.5886,33.1443,34.4153,958014
13-06-2018,34.0242,35.4908,33.8287,34.7086,761987
14-06-2018,34.7086,34.7086,33.242,33.6332,492328
15-06-2018,33.9265,34.8065,33.2421,34.4153,396057
18-06-2018,34.6108,34.6108,32.7532,33.5354,399596
19-06-2018,33.2421,33.2421,31.2867,32.7532,754396
20-06-2018,32.7532,34.122,32.0688,33.5354,292314
21-06-2018,33.4376,33.5354,32.6555,32.851,190473
22-06-2018,32.2644,33.4376,32.2644,33.4376,218076
25-06-2018,33.2421,33.9265,33.2421,33.6332,273398
26-06-2018,33.731,33.731,32.7533,33.2421,118717
27-06-2018,33.2421,33.4376,32.851,32.851,269848
28-06-2018,32.7532,33.0465,32.3621,32.6555,294530
29-06-2018,32.7533,33.0466,32.2644,32.5577,270636
02-07-2018,32.5577,32.5577,30.309,30.7978,471629
03-07-2018,30.7978,31.2867,29.0379,29.3312,315334
04-07-2018,29.3312,29.7223,28.549,29.5268,416562
05-07-2018,29.3313,29.6246,28.3535,28.5491,280098
06-07-2018,28.5491,29.8201,27.3758,29.3312,583650
09-07-2018,29.3312,30.0156,29.1357,29.2335,198950
10-07-2018,29.8201,30.0157,29.3313,29.5268,113629
11-07-2018,29.0379,29.6246,29.0379,29.2335,381772
12-07-2018,29.3313,29.3313,28.8424,29.1357,71290
13-07-2018,29.6246,30.0156,29.5268,29.9179,258763
16-07-2018,30.1134,30.309,29.6246,29.7223,145817
17-07-2018,30.2112,30.3089,29.3312,29.9179,253840
18-07-2018,29.7224,31.58,29.7224,31.4822,397237
19-07-2018,31.4822,32.2644,30.9933,32.2644,426120
20-07-2018,32.2644,33.0466,31.7755,32.2644,543199
23-07-2018,32.4599,32.5577,31.4822,31.4822,345836
24-07-2018,31.2867,31.4822,30.7978,31.1889,200935
25-07-2018,31.1889,31.7755,30.8956,31.4822,522934
26-07-2018,31.2867,31.4822,31.0911,31.4822,274411
27-07-2018,31.3844,33.7309,31.3844,33.6332,1455685
30-07-2018,33.731,36.3708,33.731,35.8819,1140882
31-07-2018,35.6864,35.8819,34.7086,35.393,774431
01-08-2018,35.6863,37.544,34.9041,36.4685,1255731
02-08-2018,36.1752,37.9351,36.1752,37.7395,1424712
03-08-2018,37.8373,37.8373,37.0551,37.544,761648
06-08-2018,37.544,37.544,36.3708,36.4685,751215
07-08-2018,36.3707,36.8596,35.393,35.4908,1030104
08-08-2018,35.4908,37.0551,35.4908,36.9574,570142
09-08-2018,37.1529,37.6418,36.1752,36.7618,689438
10-08-2018,37.1529,37.1529,35.8819,36.3707,545860
13-08-2018,36.3707,36.9573,35.9796,36.0774,954940
14-08-2018,36.1752,39.0105,35.9796,38.7172,1869184
